meal_id,meal_name,meal_time,diet_type,meal_type,suitable_for,calories,protein,carbs,fats,fiber_g,glycemic_index,prep_time_min,is_gluten_free,is_diabetic_friendly,portion,scalable
1,Grilled Chicken + Brown Rice + Salad,Dinner,Non-Veg,Deficit,"Weight Loss,Yoga",454,37.1,38.0,12.0,5.2,Low,34,Yes,Yes,1 × 150g grilled chicken + 1.2 × 100g brown rice + 1 × 100g salad,No
2,Grilled Chicken + Brown Rice + Curd + Salad,Lunch,Non-Veg,Balanced,"Toning,Yoga",550,41.4,50.0,16.0,5.7,Low,18,Yes,Yes,1 × 150g grilled chicken + 1.5 × 100g brown rice + 1 × 100g curd + 1 × 100g salad,No
3,Khichdi + Curd + Salad,Dinner,Veg,Deficit,"Weight Loss,Yoga",425,16.3,62.0,11.0,8.4,Low,18,Yes,Yes,0.9 × 250g khichdi + 1 × 100g curd + 1 × 100g salad,No
4,Dhokla + Chutney + Coffee,Snack,Veg,Balanced,"Toning,Yoga",260,9.0,41.0,6.0,3.0,Low,23,No,Yes,1 × 100g dhokla + 1 × 30g chutney + 1 × 150ml filter coffee,Yes
5,Millet Rotis + Palak Paneer + Salad,Dinner,Veg,Balanced,"Toning,Yoga",550,24.0,64.0,21.0,12.0,Medium,20,Yes,Yes,2 × 1 millet roti (50g) + 1 × 150g palak paneer + 1 × 100g salad,No
6,Khichdi + Curd + Salad,Dinner,Veg,Deficit,"Weight Loss,Yoga",425,16.3,62.0,11.0,8.4,Low,30,Yes,Yes,0.9 × 250g khichdi + 1 × 100g curd + 1 × 100g salad,No
7,Veg Pulao + Raita + Salad,Lunch,Veg,Deficit,"Weight Loss,Yoga",450,12.0,64.0,13.0,6.0,Medium,27,Yes,Yes,1 × 200g veg pulao + 1 × 100g raita + 1 × 100g salad,Yes
8,Dhokla + Chutney + Coffee,Snack,Veg,Balanced,"Toning,Yoga",260,9.0,41.0,6.0,3.0,Low,10,No,Yes,1 × 100g dhokla + 1 × 30g chutney + 1 × 150ml filter coffee,No
9,Chicken Curry + 2 Rotis + Salad,Dinner,Non-Veg,Balanced,"Toning,Yoga",570,35.0,52.0,23.0,7.0,Medium,31,No,Yes,1 × 150g chicken curry + 2 × 1 roti (50g) + 1 × 100g salad,Yes
10,Khichdi + Curd + Salad,Dinner,Veg,Deficit,"Weight Loss,Yoga",425,16.3,62.0,11.0,8.4,Low,26,Yes,Yes,0.9 × 250g khichdi + 1 × 100g curd + 1 × 100g salad,Yes
11,Grilled Chicken + Brown Rice + Salad,Dinner,Non-Veg,Deficit,"Weight Loss,Yoga",454,37.1,38.0,12.0,5.2,Low,29,Yes,Yes,1 × 150g grilled chicken + 1.2 × 100g brown rice + 1 × 100g salad,Yes
12,Chicken Soup + Salad,Snack,Non-Veg,Balanced,"Toning,Yoga",190,15.5,10.0,9.0,3.0,Low,20,Yes,Yes,0.5 × 150g chicken curry + 1 × 100g salad,Yes
13,Upma + Coconut Water,Breakfast,Veg,Deficit,"Weight Loss,Yoga",315,6.0,56.0,8.0,2.0,Medium,27,No,Yes,1 × 150g upma + 1 × 200ml coconut water,Yes
14,Chole + 2 Rotis + Salad + Buttermilk,Lunch,Veg,Balanced,"Toning,Yoga",610,23.0,82.0,18.0,14.0,Medium,21,No,Yes,1 × 150g chole + 2 × 1 roti (50g) + 1 × 100g salad + 1 × 200ml buttermilk,Yes
15,Veg Pulao + Raita,Dinner,Veg,Deficit,"Weight Loss,Yoga",368,9.4,51.0,11.0,2.7,Medium,13,Yes,Yes,0.9 × 200g veg pulao + 1 × 100g raita,No
16,Chole + 2 Rotis + Salad + Buttermilk,Lunch,Veg,Balanced,"Toning,Yoga",610,23.0,82.0,18.0,14.0,Medium,23,No,Yes,1 × 150g chole + 2 × 1 roti (50g) + 1 × 100g salad + 1 × 200ml buttermilk,Yes
17,Idli Sambar + Chutney + Filter Coffee,Breakfast,Veg,Deficit,"Weight Loss,Yoga",350,12.0,56.0,8.0,5.0,Low,19,Yes,Yes,1 × 2 idlis (100g) + 1 × 150g sambar + 1 × 30g chutney + 1 × 150ml filter coffee,Yes
18,Chicken Soup + Salad,Snack,Non-Veg,Balanced,"Toning,Yoga",190,15.5,10.0,9.0,3.0,Low,20,Yes,Yes,0.5 × 150g chicken curry + 1 × 100g salad,No
19,Roasted Chana + Chai,Snack,Veg,Balanced,"Toning,Yoga",220,10.5,32.0,4.0,8.0,Medium,21,Yes,Yes,1 × 40g roasted chana + 1 × 150ml masala chai,No
20,Moong Chilla + Curd,Breakfast,Veg,Deficit,"Weight Loss,Yoga",310,17.5,30.0,11.0,6.0,Low,15,Yes,Yes,1 × 2 moong chillas (150g) + 1 × 100g curd,No
21,2 Rotis + Dal + Bhindi + Salad + Chaas,Lunch,Veg,Surplus,"Weight Gain,Toning",700,23.0,93.0,24.0,18.0,Medium,14,No,No,2 × 1 roti (50g) + 1 × 150g dal + 1 × 150g bhindi sabzi + 1 × 100g salad + 1 × 200ml chaas,Yes
22,Dhokla + Chutney + Coffee,Snack,Veg,Balanced,"Toning,Yoga",260,9.0,41.0,6.0,3.0,Low,11,No,Yes,1 × 100g dhokla + 1 × 30g chutney + 1 × 150ml filter coffee,No
